Location,Period,Tooltip
Afghanistan,2018,14834701
Albania,2018,47
Algeria,2018,10909
Andorra,2018,0
Angola,2018,15220708
Antigua and Barbuda,2018,1201
Argentina,2018,162233
Armenia,2018,39149
Australia,2018,20123
Austria,2018,41
Azerbaijan,2018,1655112
Bahamas,2018,10
Bahrain,2018,1
Bangladesh,2018,56339394
Barbados,2018,67
Belarus,2018,0
Belgium,2018,1
Belize,2018,2158
Benin,2018,5685180
Bhutan,2018,222639
Bolivia (Plurinational State of),2018,194759
Bosnia and Herzegovina,2018,0
Botswana,2018,238203
Brazil,2018,9489512
Brunei Darussalam,2018,1
Bulgaria,2018,1
Burkina Faso,2018,10152760
Burundi,2018,5484235
Cabo Verde,2018,125137
Cambodia,2018,4182394
Cameroon,2018,16537416
Canada,2018,0
Central African Republic,2018,3300000
Chad,2018,6233571
Chile,2018,25
China,2018,26378300
Colombia,2018,3350646
Comoros,2018,828148
Congo,2018,1323442
Cook Islands,2018,0
Costa Rica,2018,4017
Côte d’Ivoire,2018,21002613
Croatia,2018,1
Cuba,2018,2348
Cyprus,2018,2
Czechia,2018,3
Democratic People's Republic of Korea,2018,5459159
Democratic Republic of the Congo,2018,52756552
Denmark,2018,0
Djibouti,2018,110561
Dominica,2018,562
Dominican Republic,2018,2700201
Ecuador,2018,5060
Egypt,2018,5066393
El Salvador,2018,1443743
Equatorial Guinea,2018,429326
Eritrea,2018,956062
Estonia,2018,0
Eswatini,2018,247084
Ethiopia,2018,77653029
Fiji,2018,917552
Finland,2018,1
France,2018,86
Gabon,2018,937923
Gambia,2018,171391
Georgia,2018,412310
Germany,2018,132
Ghana,2018,16582444
Greece,2018,51
Grenada,2018,463
Guatemala,2018,4957871
Guinea,2018,7480197
Guinea-Bissau,2018,1206042
Guyana,2018,719312
Haiti,2018,5771386
Honduras,2018,2721691
Hungary,2018,0
Iceland,2018,0
India,2018,697000000
Indonesia,2018,101000000
Iran (Islamic Republic of),2018,15581
Iraq,2018,2170486
Ireland,2018,0
Israel,2018,276
Italy,2018,147
Jamaica,2018,988
Japan,2018,5
Jordan,2018,151
Kazakhstan,2018,40
Kenya,2018,11645569
Kiribati,2018,121374
Kuwait,2018,13
Kyrgyzstan,2018,113625
Lao People's Democratic Republic,2018,2031804
Latvia,2018,6
Lebanon,2018,0
Lesotho,2018,382336
Liberia,2018,3094538
Libya,2018,3016
Lithuania,2018,28
Luxembourg,2018,0
Madagascar,2018,20224527
Malawi,2018,12423068
Malaysia,2018,80797
Maldives,2018,3411
Mali,2018,7535901
Malta,2018,6
Marshall Islands,2018,19594
Mauritania,2018,916692
Mauritius,2018,1
Mexico,2018,19900177
Micronesia (Federated States of),2018,70736
Monaco,2018,1
Mongolia,2018,1810
Montenegro,2018,0
Morocco,2018,40
Mozambique,2018,23023478
Myanmar,2018,41778536
Namibia,2018,1094020
Nauru,2018,2844
Nepal,2018,14520580
Netherlands,2018,2
New Zealand,2018,3
Nicaragua,2018,1611101
Niger,2018,14338992
Nigeria,2018,131000000
Niue,2018,0
Norway,2018,5
Oman,2018,1
Pakistan,2018,31683212
Palau,2018,1
Panama,2018,50833
Papua New Guinea,2018,6261977
Paraguay,2018,1974836
Peru,2018,346737
Philippines,2018,47078380
Poland,2018,36
Portugal,2018,17
Qatar,2018,0
Republic of Korea,2018,6
Republic of Moldova,2018,0
The former Yugoslav Republic of Macedonia,2018,12
Romania,2018,0
Russian Federation,2018,3
Rwanda,2018,4717934
Saint Kitts and Nevis,2018,6
Saint Lucia,2018,98
Saint Vincent and the Grenadines,2018,4
Samoa,2018,191219
San Marino,2018,0
Sao Tome and Principe,2018,201784
Saudi Arabia,2018,940
Senegal,2018,9061189
Serbia,2018,0
Seychelles,2018,0
Sierra Leone,2018,6498480
Singapore,2018,6
Slovakia,2018,6
Slovenia,2018,1
Solomon Islands,2018,542215
Somalia,2018,2286299
South Africa,2018,18807465
South Sudan,2018,7467149
Spain,2018,7
Sri Lanka,2018,55489
Sudan,2018,11930091
Suriname,2018,265
Sweden,2018,11
Switzerland,2018,0
Syrian Arab Republic,2018,1767108
Tajikistan,2018,3230054
Thailand,2018,55073
Timor-Leste,2018,1293316
Togo,2018,4292784
Tonga,2018,37131
Trinidad and Tobago,2018,160
Tunisia,2018,6650
Turkey,2018,0
Turkmenistan,2018,212
Tuvalu,2018,12052
Uganda,2018,21407858
Ukraine,2018,0
United Arab Emirates,2018,0
United Kingdom of Great Britain and Northern Ireland,2018,7
United Republic of Tanzania,2018,26707925
United States of America,2018,516
Uruguay,2018,7
Uzbekistan,2018,405951
Vanuatu,2018,284095
Venezuela (Bolivarian Republic of),2018,7493106
Viet Nam,2018,6147296
Yemen,2018,12339767
Zambia,2018,12032435
Zimbabwe,2018,10660813